Document;Tablet;Passage;Type;Published;Checked;Chronology;Typology;Notes
Archi1992d;75.2520;Unknown;;No;No;;;
Archi1992d;75.1319;Unknown;;No;No;;;
Archi1992d;75.;Unknown;;No;No;;;
Archi1992d;75.1452;Unknown;;No;No;;;
Archi1992d;75.2033;Unknown;;No;No;;;
Archi1992d;75.2340;Unknown;;No;No;;;
Archi1992d;75.2426;Unknown;;No;No;;;
Archi1992d;75.2335;Unknown;;No;No;;;
Archi1992d;75.2507;Unknown;;No;No;;;
Archi1992d;75.1923;Unknown;;No;No;;;
Archi1992d;75.2350;Unknown;;No;No;;;
Archi1992d;75.2462;Unknown;;No;No;;;
Archi1992d;75.1375;Unknown;;No;No;;;
Archi1992d;75.2356;Unknown;;No;No;;;
Archi1992d;75.10136;Unknown;;No;No;;;
Archi1992d;75.10159;Unknown;;No;No;;;
Archi1992d;75.10273;Unknown;;No;No;;;
Archi1992d;75.10201;Unknown;;No;No;;;
Archi1992d;75.2428;Unknown;;No;No;;;
Archi1992d;75.2508;Unknown;;No;No;;;
Archi1992d;75.1261;Unknown;;No;No;;;
Archi1992d;2375;Unknown;;No;No;;;
Archi1992d;75;Unknown;;No;No;;;
Archi1992d;75.10074;Unknown;;No;No;;;
Archi1992d;75.1444;Unknown;;No;No;;;
Archi1992d;75.2365;Unknown;;No;No;;;
Archi1992d;75.;Unknown;;No;No;;;
Archi1992d;75.1945;Unknown;;No;No;;;
Archi1992d;75.2635;Unknown;;No;No;;;
Archi1992d;75.1379;Unknown;;No;No;;;
Archi1992d;75.2507;Unknown;;No;No;;;
Archi1992d;75.1764;Unknown;;No;No;;;
Archi1992d;75.2238;Unknown;;No;No;;;
Archi1992d;75.2516;Unknown;;No;No;;;
Archi1992d;161-75;Unknown;;No;No;;;
Archi1992d;75.1793;Unknown;;No;No;;;
Archi1992d;75.1451;Unknown;;No;No;;;
Archi1992d;75.1585;Unknown;;No;No;;;
Archi1992d;75.1839;Unknown;;No;No;;;
Archi1992d;75.2269;Unknown;;No;No;;;
Archi1992d;75.1772;Unknown;;No;No;;;
Archi1992d;75.2428;Unknown;;No;No;;;
Archi1992d;75.2429;Unknown;;No;No;;;
Archi1992d;75.1915;Unknown;;No;No;;;
Archi1992d;75.1860;Unknown;;No;No;;;
Archi1992d;75.2062;Unknown;;No;No;;;
Archi1992d;75.2508;Unknown;;No;No;;;
Archi1992d;75.2137;Unknown;;No;No;;;
Archi1992d;75.2051;Unknown;;No;No;;;
Archi1992d;75.2239;Unknown;;No;No;;;
Archi1992d;75.1918;Unknown;;No;No;;;
Archi1992d;75.1705;Unknown;;No;No;;;
Archi1992d;75.2464;Unknown;;No;No;;;
Archi1992d;75.2622;Unknown;;No;No;;;
Archi1992d;75.2465;Unknown;;No;No;;;
Archi1992d;75.1904;Unknown;;No;No;;;
Archi1992d;75.2362;Unknown;;No;No;;;
Archi1992d;75.1174;Unknown;;No;No;;;
Archi1992d;75.1397;Unknown;;No;No;;;
Archi1992d;75.2491;Unknown;;No;No;;;
Archi1992d;75.1723;Unknown;;No;No;;;
Archi1993a;75.1901;Unknown;;No;No;;;
Archi1993a;75.2332;Unknown;;No;No;;;
Archi1993a;75.2167;Unknown;;No;No;;;
Archi1993a;1975;Unknown;;No;No;;;
Archi1993a;75.1766;Unknown;;No;No;;;
Archi1993a;75-90;Unknown;;No;No;;;
Archi1993a;1975-1985;Unknown;;No;No;;;
Archi1993a;75.1464;Unknown;;No;No;;;
Archi1993a;75.2503;Unknown;;No;No;;;
Archi1993a;75.;Unknown;;No;No;;;
Archi1993a;75.10013;Unknown;;No;No;;;
Archi1993a;75.1764;Unknown;;No;No;;;
Archi1993a;75.10148obv.;Unknown;;No;No;;;
Archi1993a;75.503;Unknown;;No;No;;;
Archi1993a;75.2417;Unknown;;No;No;;;
Archi1993a;75.1524;Unknown;;No;No;;;
Archi1993a;75.1706;Unknown;;No;No;;;
Archi1993a;75;Unknown;;No;No;;;
Archi1993a;75.2233;Unknown;;No;No;;;
Archi1993a;75.2476;Unknown;;No;No;;;
Archi1993a;75.2474;Unknown;;No;No;;;
Archi1993a;75.1894;Unknown;;No;No;;;
Archi1993a;75.2507;Unknown;;No;No;;;
Archi1993a;75.10019;Unknown;;No;No;;;
Archi1993a;75.2464;Unknown;;No;No;;;
Archi1993a;75.2088;Unknown;;No;No;;;
Archi1993a;75.10056;Unknown;;No;No;;;
Archi1993a;75.10077;Unknown;;No;No;;;
Archi1993a;1a,71475.10202rev.;Unknown;;No;No;;;
Archi1993a;75;Unknown;;No;No;;;
Archi1993a;75.10144;Unknown;;No;No;;;
Archi1993a;75.2622;Unknown;;No;No;;;
Archi1993a;75.2426;Unknown;;No;No;;;
Archi1993a;75.2330;Unknown;;No;No;;;
Archi1993a;75.2023;Unknown;;No;No;;;
Archi1993a;75.2023;Unknown;;No;No;;;
Archi1993a;75.1481;Unknown;;No;No;;;
Archi1993a;2875;Unknown;;No;No;;;
Archi1993a;75.2410;Unknown;;No;No;;;
Archi1993a;75.2465;Unknown;;No;No;;;
Archi1993a;75.1324;rev.XI:1-2;Quote;No;Yes;;;
Archi1993a;75.1335;Unknown;;No;No;;;
Archi1993a;75.1834;Unknown;;No;No;;;
Archi1993a;75.1881;Unknown;;No;No;;;
Archi1993a;75.1643;Unknown;;No;No;;;
Archi1993a;75.2270;Unknown;;No;No;;;
Archi1993a;75.2285;Unknown;;No;No;;;
Archi1993a;75.2509;Unknown;;No;No;;;
Archi1993a;75.2653;Unknown;;No;No;;;
Archi1993a;75.10129;Unknown;;No;No;;;
Archi1993a;oxt275.075;Unknown;;No;No;;;
Archi1993a;75.10229;Unknown;;No;No;;;
Archi1993a;75.1945;Unknown;;No;No;;;
Archi1993a;75.2238Ì;Unknown;;No;No;;;
Archi1993a;75.2516;Unknown;;No;No;;;
Archi1993a;75.2397;Unknown;;No;No;;;
Archi1993a;75.2403;Unknown;;No;No;;;
Archi1993a;75.2441;Unknown;;No;No;;;
Archi1993a;75.2517;Unknown;;No;No;;;
Archi1993a;75.10167;Unknown;;No;No;;;
Archi1993a;75.2516obv.;Unknown;;No;No;;;
Archi1993a;75.1464;Unknown;;No;No;;;
Archi1993a;75.;Unknown;;No;No;;;
Archi1993a;75.2417;Unknown;;No;No;;;
Archi1993a;75.2433+2509;Unknown;;No;No;;;
Archi1993a;75.1839;Unknown;;No;No;;;
Archi1993a;75.1411;Unknown;;No;No;;;
Archi1993a;75.2499;Unknown;;No;No;;;
Archi1993b;75;Unknown;;No;No;;;
Archi1993b;75.1328;Unknown;;No;No;;;
Archi1993b;75.1395;Unknown;;No;No;;;
Archi1993b;75.2487;Unknown;;No;No;;;
Archi1993b;75.2335;Unknown;;No;No;;;
Archi1993b;75.1381;Unknown;;No;No;;;
Archi1993b;75.2145;Unknown;;No;No;;;
Archi1993b;75.1642;Unknown;;No;No;;;
Archi1993b;75.2428;Unknown;;No;No;;;
Archi1993b;75.2464;Unknown;;No;No;;;
Archi1993b;75.1674;Unknown;;No;No;;;
Archi1993b;75.10201;Unknown;;No;No;;;
Archi1993b;75.10088;Unknown;;No;No;;;
Archi1993b;75.2507;Unknown;;No;No;;;
Archi1993d;75.2508;Unknown;;No;No;;;
Archi1993d;759;Unknown;;No;No;;;
Archi1993d;75.10074;Unknown;;No;No;;;
Archi1993d;75.1860;Unknown;;No;No;;;
Archi1993d;75.2465;Unknown;;No;No;;;
Archi1993d;75.2637;Unknown;;No;No;;;
Archi1993d;75.2008;Unknown;;No;No;;;
Archi1993d;1175;Unknown;;No;No;;;
Archi1993e;75.1705;Unknown;;No;No;;;
Archi1993e;75.2102;Unknown;;No;No;;;
Archi1993e;75.12451;Unknown;;No;No;;;
Archi1993e;75.10143;Unknown;;No;No;;;
Archi1993e;75.2359;Unknown;;No;No;;;
Archi1993e;75.12561;Unknown;;No;No;;;
Archi1993e;75.10201;Unknown;;No;No;;;
Archi1993e;75.10041;Unknown;;No;No;;;
Archi1993e;75.10250;Unknown;;No;No;;;
Archi1993e;75.1410;Unknown;;No;No;;;
Archi1993e;75.1877;Unknown;;No;No;;;
Archi1993e;75.2634;Unknown;;No;No;;;
Archi1993e;75.10244;Unknown;;No;No;;;
Archi1993e;75.1231;Unknown;;No;No;;;
Archi1993e;75.2301;Unknown;;No;No;;;
Archi1993e;75.2013;Unknown;;No;No;;;
Archi1993e;73–75;Unknown;;No;No;;;
Archi1993e;75.2560+6032;Unknown;;No;No;;;
Archi1993e;75.2012;Unknown;;No;No;;;
Archi1993e;75.2045;Unknown;;No;No;;;
Archi1993e;75.2170;Unknown;;No;No;;;
Archi1993e;75.2527+2528;Unknown;;No;No;;;
Archi1993e;75.2462;Unknown;;No;No;;;
Archi1993f;75.1698;Unknown;;No;No;;;
Archi1993f;69™75™21;Unknown;;No;No;;;
Archi1993f;75.2574;Unknown;;No;No;;;
Archi1993g;75.2383;Unknown;;No;No;;;
Archi1993g;75.2372;Unknown;;No;No;;;
Archi1993g;75.2037;Unknown;;No;No;;;
Archi1993g;75.2429;Unknown;;No;No;;;
Archi1993g;75.2451;Unknown;;No;No;;;
Archi1994a;75.1741;Quote;;No;Yes;Ibrium;;
Archi1994a;75.10077;Unknown;;No;No;;;
Archi1994a;74–75;Unknown;;No;No;;;
Archi1994a;641–975;Unknown;;No;No;;;
Archi1994a;75.1464;Unknown;;No;No;;;
Archi1994a;75.2426;Unknown;;No;No;;;
Archi1994a;75.2327+4203;Unknown;;No;No;;;
Archi1994a;75.2327;Unknown;;No;No;;;
Archi1994a;75.2283;Unknown;;No;No;;;
Archi1994a;75.1397;Unknown;;No;No;;;
Archi1994a;75.10229;Unknown;;No;No;;;
Archi1994a;75.2073;Unknown;;No;No;;;
Archi1994a;75.1944;Unknown;;No;No;;;
Archi1994a;75.2339;Unknown;;No;No;;;
Archi1994a;75.2276;Unknown;;No;No;;;
Archi1994a;75.2250;Unknown;;No;No;;;
Archi1994a;75.2465;Unknown;;No;No;;;
Archi1994a;75.1918;Unknown;;No;No;;;
Archi1994a;75.2622;Unknown;;No;No;;;
Archi1994a;75.2372.10;Unknown;;No;No;;;
Archi1994a;75.2270;Unknown;;No;No;;;
Archi1994a;75.2372;Unknown;;No;No;;;
Archi1994a;75.10272;Unknown;;No;No;;;
Archi1994a;75.10191;Unknown;;No;No;;;
Archi1994a;75.1923;Unknown;;No;No;;;
Archi1994a;75.1730;Unknown;;No;No;;;
Archi1994b;75.1764;Unknown;;No;No;;;
Archi1994b;75.2075;Unknown;;No;No;;;
Archi1994b;75.2238;Unknown;;No;No;;;
Archi1994b;75.11010;Unknown;;No;No;;;
Archi1994b;75.1731;Unknown;;No;No;;;
Archi1994b;75.2029;Unknown;;No;No;;;
Archi1994b;75.1902;Unknown;;No;No;;;
Archi1994b;75.1872;Unknown;;No;No;;;
Archi1994b;75.10001;Unknown;;No;No;;;
Archi1994b;75.1353;Unknown;;No;No;;;
Archi1994b;75.1379;Unknown;;No;No;;;
Archi1994b;75.1406;Unknown;;No;No;;;
Archi1994b;75.1413;Unknown;;No;No;;;
Archi1994b;75.1540;Unknown;;No;No;;;
Archi1994b;75.1796;Unknown;;No;No;;;
Archi1994b;75.1915;Unknown;;No;No;;;
Archi1994b;75.1928;Unknown;;No;No;;;
Archi1994b;75.2596;Unknown;;No;No;;;
Archi1994b;75.2599;Unknown;;No;No;;;
Archi1994b;75.1975;Unknown;;No;No;;;
Archi1994b;75.10094;Unknown;;No;No;;;
Archi1994b;75.10077;Unknown;;No;No;;;
Archi1994b;75.2464;Unknown;;No;No;;;
Archi1994b;75.3481;Unknown;;No;No;;;
Archi1994b;75.1904;Unknown;;No;No;;;
Archi1994b;75.10148;Unknown;;No;No;;;
Archi1994b;75.2465;Unknown;;No;No;;;
Archi1994b;75.1923;Unknown;;No;No;;;
Archi1994b;75.2365;Unknown;;No;No;;;
Archi1994b;75.1923;Unknown;;No;No;;;
Archi1994b;75.1860;Unknown;;No;No;;;
Archi1994b;75.2462;Unknown;;No;No;;;
Archi1994b;75.10088;Unknown;;No;No;;;
Archi1994b;75.2435;Unknown;;No;No;;;
Archi1994b;75.10201;Unknown;;No;No;;;
Archi1994b;75.1918;Unknown;;No;No;;;
Archi1994b;75.10074;Unknown;;No;No;;;
Archi1994b;75.1382;Unknown;;No;No;;;
Archi1994b;75.2062;Unknown;;No;No;;;
Archi1994b;75.1890+11556;Unknown;;No;No;;;
Archi1995+f;75.1381;Unknown;;No;No;;;
Archi1995+f;75.10029;Unknown;;No;No;;;
Archi1995+f;75.2622;Unknown;;No;No;;;
Archi1995+f;75.2428;Unknown;;No;No;;;
Archi1995+f;75.2508;Unknown;;No;No;;;
Archi1995+f;75.2418;Unknown;;No;No;;;
Archi1995+f;75.2429;Unknown;;No;No;;;
Archi1995+f;75.2507;Unknown;;No;No;;;
Archi1995+f;75.2276;Unknown;;No;No;;;
Archi1995+g;75.2274;Unknown;;No;No;;;
Archi1995+g;75.10202;Unknown;;No;No;;;
Archi1995+g;75.2277;Unknown;;No;No;;;
Archi1995+g;75.2335;Unknown;;No;No;;;
Archi1995+g;75.2426;Unknown;;No;No;;;
Archi1995+g;75.12450;Unknown;;No;No;;;
Archi1995+g;75.12278;Unknown;;No;No;;;
Archi1995+g;75.12373;Unknown;;No;No;;;
Archi1995+g;75.1249;Unknown;;No;No;;;
Archi1995+g;75.10069;Unknown;;No;No;;;
Archi1995+g;75.1250;Unknown;;No;No;;;
Archi1995+g;75.1249;Unknown;;No;No;;;
Archi1995+g;75.1253;Unknown;;No;No;;;
Archi1995+g;75.2453;Unknown;;No;No;;;
Archi1995+g;75.1216;Unknown;;No;No;;;
Archi1996a;75.1729;Unknown;;No;No;;;
Archi1996a;75.2409+2471;Unknown;;No;No;;;
Archi1996a;75.2538;Unknown;;No;No;;;
Archi1996a;75.10103;Unknown;;No;No;;;
Archi1996a;75.10167;Unknown;;No;No;;;
Archi1996a;75.2651;Unknown;;No;No;;;
Archi1996a;75.2274;Unknown;;No;No;;;
Archi1996a;75.1902;Unknown;;No;No;;;
Archi1996a;75.10201;Unknown;;No;No;;;
Archi1996a;75./76;Unknown;;No;No;;;
Archi1996a;75;Unknown;;No;No;;;
Archi1996a;75.2429;Unknown;;No;No;;;
Archi1996a;75.2598;Unknown;;No;No;;;
Archi1996a;75.2029;Unknown;;No;No;;;
Archi1996a;75.3858;Unknown;;No;No;;;
Archi1996a;75.10167;Unknown;;No;No;;;
Archi1996a;75.2453;Unknown;;No;No;;;
Archi1996a;75.2507;Unknown;;No;No;;;
Archi1996a;75.2238;Unknown;;No;No;;;
Archi1996b;75.2508;Unknown;;No;No;;;
Archi1996b;75.10013;Unknown;;No;No;;;
Archi1996b;75.2608;Unknown;;No;No;;;
Archi1996b;475;Unknown;;No;No;;;
Archi1996b;75.1382;Unknown;;No;No;;;
Archi1996b;75.2062;Unknown;;No;No;;;
Archi1996b;75.2369;Unknown;;No;No;;;
Archi1996b;75.2622;Unknown;;No;No;;;
Archi1996b;75.10074;Unknown;;No;No;;;
Archi1996b;75.2335;Unknown;;No;No;;;
Archi1996b;75.2426;Unknown;;No;No;;;
Archi1996b;75.1225;Unknown;;No;No;;;
Archi1996b;75.2409+2471;Unknown;;No;No;;;
Archi1996b;75.10069;Unknown;;No;No;;;
Archi1996b;75.2428;Unknown;;No;No;;;
Archi1996b;75.10188;Unknown;;No;No;;;
Archi1996b;75.1573;Unknown;;No;No;;;
Archi1996b;75.1379;Unknown;;No;No;;;
Archi1996b;75.1413;Unknown;;No;No;;;
Archi1996b;75.2407;Unknown;;No;No;;;
Archi1996b;75.1902;Unknown;;No;No;;;
Archi1996b;75.10022;Unknown;;No;No;;;
Archi1996b;75.10236;Unknown;;No;No;;;
Archi1996b;75.1559;Unknown;;No;No;;;
Archi1996b;75.1310;Unknown;;No;No;;;
Archi1996b;75.410;Unknown;;No;No;;;
Archi1996b;75.1642;Unknown;;No;No;;;
Archi1996b;75.10025;Unknown;;No;No;;;
Archi1996b;75.2085;Unknown;;No;No;;;
Archi1996b;75.10218;Unknown;;No;No;;;
Archi1996b;275;Unknown;;No;No;;;
Archi1996b;75.1764;Unknown;;No;No;;;
Archi1996b;75.2635;Unknown;;No;No;;;
Archi1996b;75.2238;Unknown;;No;No;;;
Archi1996b;75.10169;Unknown;;No;No;;;
Archi1996b;107–75;Unknown;;No;No;;;
Archi1996b;75.2096;Unknown;;No;No;;;
Archi1996b;75.1318;Unknown;;No;No;;;
Archi1996b;75.1885;Unknown;;No;No;;;
Archi1996b;75.1938;Unknown;;No;No;;;
Archi1996b;75.1879;Unknown;;No;No;;;
Archi1996b;75.2443;Unknown;;No;No;;;
Archi1996b;75.1731;Unknown;;No;No;;;
Archi1996b;75.1793;Unknown;;No;No;;;
Archi1996b;75.2233;Unknown;;No;No;;;
Archi1996b;75.2328;Unknown;;No;No;;;
Archi1996b;75.1748;Unknown;;No;No;;;
Archi1996b;1775;Unknown;;No;No;;;
Archi1996b;75.2527;Unknown;;No;No;;;
Archi1996b;75.2491;Unknown;;No;No;;;
Archi1996b;2752;Unknown;;No;No;;;
Archi1996b;75.10144;Unknown;;No;No;;;
Archi1996b;75.1923;Unknown;;No;No;;;
Archi1996b;75.10088;Unknown;;No;No;;;
Archi1996b;75.1918;Unknown;;No;No;;;
Archi1996b;75.10201;Unknown;;No;No;;;
Archi1996b;75.1247;Unknown;;No;No;;;
Archi1996b;75.1840;Unknown;;No;No;;;
Archi1996b;75.1953;Unknown;;No;No;;;
Archi1996b;75.1464;Unknown;;No;No;;;
Archi1996b;75.2403;Unknown;;No;No;;;
Archi1996b;2752;Unknown;;No;No;;;
Archi1996b;75.67;Unknown;;No;No;;;
Archi1996b;75.1764;Unknown;;No;No;;;
Archi1996b;75.2075;Unknown;;No;No;;;
Archi1996b;75.2238;Unknown;;No;No;;;
Archi1996b;75.2397;Unknown;;No;No;;;
Archi1996b;75.2598;Unknown;;No;No;;;
Archi1996b;75.;Unknown;;No;No;;;
Archi1996b;75.1318;Unknown;;No;No;;;
Archi1996b;2075;Unknown;;No;No;;;
Archi1996b;75.;Unknown;;No;No;;;
Archi1996b;.75.2397;Unknown;;No;No;;;
Archi1996b;75.1101;Unknown;;No;No;;;
Archi1996b;75.1318;Unknown;;No;No;;;
Archi1996b;75.1536;Unknown;;No;No;;;
Archi1996b;75.1730;Unknown;;No;No;;;
Archi1996b;75.2417;Unknown;;No;No;;;
Archi1996b;75.1173;Unknown;;No;No;;;
Archi1996b;75.1945;Unknown;;No;No;;;
Archi1996b;75.10234;Unknown;;No;No;;;
Archi1996b;75.70;Unknown;;No;No;;;
Archi1996b;75.10160;Unknown;;No;No;;;
Archi1996b;75.1739;Unknown;;No;No;;;
Archi1996b;11.75;Unknown;;No;No;;;
Archi1996b;75.10103;Unknown;;No;No;;;
Archi1996b;75.1705;Unknown;;No;No;;;
Archi1996b;75.2362;Unknown;;No;No;;;
Archi1996b;75.1739;Unknown;;No;No;;;
Archi1996b;75.2596;Unknown;;No;No;;;
Archi1996b;75.2635;Unknown;;No;No;;;
Archi1996b;75.2398;Unknown;;No;No;;;
Archi1996b;75.1938;Unknown;;No;No;;;
Archi1996b;.75.1739;Unknown;;No;No;;;
Archi1996b;75.1101;Unknown;;No;No;;;
Archi1996b;75.2520;Unknown;;No;No;;;
Archi1996b;75.1246;Unknown;;No;No;;;
Archi1996b;75.2439;Unknown;;No;No;;;
Archi1996b;75.10185;Unknown;;No;No;;;
Archi1996b;75.25;Unknown;;No;No;;;
Archi1996b;75.1730;Unknown;;No;No;;;
Archi1996b;75.207550;Unknown;;No;No;;;
Archi1996b;75.2243;Unknown;;No;No;;;
Archi1996b;75.10169;Unknown;;No;No;;;
Archi1996b;75.10013;Unknown;;No;No;;;
Archi1996b;75.1;Unknown;;No;No;;;
Archi1996b;75.2441;Unknown;;No;No;;;
Archi1996b;75.2369;Unknown;;No;No;;;
Archi1996b;75.1688;Unknown;;No;No;;;
Archi1996b;75.2478;Unknown;;No;No;;;
Archi1996b;75.2353;Unknown;;No;No;;;
Archi1996b;75.3858;Unknown;;No;No;;;
Archi1996b;75.1221;Unknown;;No;No;;;
Archi1996b;75.2653;Unknown;;No;No;;;
Archi1996b;75.2164;Unknown;;No;No;;;
Archi1996b;75.2467;Unknown;;No;No;;;
Archi1996b;75.2517;Unknown;;No;No;;;
Archi1996b;75.10167;Unknown;;No;No;;;
Archi1996b;75.10222;Unknown;;No;No;;;
Archi1996b;75.1772;Unknown;;No;No;;;
Archi1996b;75.1884;Unknown;;No;No;;;
Archi1996b;75.1730;Unknown;;No;No;;;
Archi1996b;75.\0136;Unknown;;No;No;;;
Archi1996c;75.\0074;Unknown;;No;No;;;
Archi1996c;75.1250;Unknown;;No;No;;;
Archi1996c;75.1262;Unknown;;No;No;;;
Archi1996c;75.1743;Unknown;;No;No;;;
Archi1996c;75.2443;Unknown;;No;No;;;
Archi1996d;75.1790;Mention;;No;Yes;;;
Archi1996d;75.\o233;Unknown;;No;No;;;
Archi1996d;75.1588;Unknown;;No;No;;;
Archi1996d;75;Unknown;;No;No;;;
Archi1996d;75.1942;Unknown;;No;No;;;
Archi1996d;75.1944;Unknown;;No;No;;;
Archi1996d;75.2334;Unknown;;No;No;;;
Archi1996d;75.2573;Unknown;;No;No;;;
Archi1996d;75.0.2417;Unknown;;No;No;;;
Archi1996d;75.1328;Unknown;;No;No;;;
Archi1996d;75.2523;Unknown;;No;No;;;
Archi1996d;75.2593;Unknown;;No;No;;;
Archi1996d;75.1763;Unknown;;No;No;;;
Archi1996d;75.1324;Unknown;;No;No;;;
Archi1996d;75.10202;Unknown;;No;No;;;
Archi1996d;75.2247;Unknown;;No;No;;;
Archi1996d;75.1923;Unknown;;No;No;;;
Archi1996d;75.1379;Unknown;;No;No;;;
Archi1996d;75.1379;Unknown;;No;No;;;
Archi1996d;75.2647+2650;Unknown;;No;No;;;
Archi1996d;75.1444;Unknown;;No;No;;;
Archi1996d;75.12116;Unknown;;No;No;;;
Archi1996d;75.1829;Unknown;;No;No;;;
Archi1996d;75.10079;Unknown;;No;No;;;
Archi1996d;75.2435;Unknown;;No;No;;;
Archi1996d;75.1781;Unknown;;No;No;;;
Archi1996d;75.1934;Unknown;;No;No;;;
Archi1996d;75.2529;Unknown;;No;No;;;
Archi1996d;75.1937;Unknown;;No;No;;;
Archi1996d;75.2644+10000;Unknown;;No;No;;;
Archi1996d;175;Unknown;;No;No;;;
Archi1996d;75-81;Unknown;;No;No;;;
Archi1996d;75.1444;Unknown;;No;No;;;
Archi1996d;249-275;Unknown;;No;No;;;
Archi1996d;74-75;Unknown;;No;No;;;
Archi1996d;75.1413;Unknown;;No;No;;;
Archi1996d;75.1871;Unknown;;No;No;;;
Archi1996d;75.1872;Unknown;;No;No;;;
Archi1996d;75.1860;Unknown;;No;No;;;
Archi1996d;75.2428;Unknown;;No;No;;;
Archi1996d;75.2508;Unknown;;No;No;;;
Archi1996d;75.2429;Unknown;;No;No;;;
Archi1996d;75.1904;Unknown;;No;No;;;
Archi1996d;75.2359;Unknown;;No;No;;;
Archi1996d;75.1730;Unknown;;No;No;;;
Archi1996d;75.1902+2617;Unknown;;No;No;;;
Archi1996d;75.10201;Unknown;;No;No;;;
Archi1996d;75.10202;Unknown;;No;No;;;
Archi1996d;75.2362;Unknown;;No;No;;;
Archi1996d;75.2462;Unknown;;No;No;;;
Archi1996d;75.2622;Unknown;;No;No;;;
Archi1996d;75.1918;Unknown;;No;No;;;
Archi1996d;75.1915+;Unknown;;No;No;;;
Archi1996d;75.2062;Unknown;;No;No;;;
Archi1996d;75–177;Unknown;;No;No;;;
Archi1996d;57–75;Unknown;;No;No;;;
Archi1996d;75.2365;Unknown;;No;No;;;
Archi1996d;75.2465;Unknown;;No;No;;;
Archi1996d;75.2502;Unknown;;No;No;;;
Archi1996d;75.2377;Unknown;;No;No;;;
Archi1996d;75.10151;Unknown;;No;No;;;
Archi1996d;75.2022;Unknown;;No;No;;;
Archi1996d;75.2598;Unknown;;No;No;;;
Archi1996d;75.1173;Unknown;;No;No;;;
Archi1996d;75.11010;Unknown;;No;No;;;
Archi1996d;75.427;Unknown;;No;No;;;
Archi1996d;75.2403;Unknown;;No;No;;;
Archi1996d;75.2516;Unknown;;No;No;;;
Archi1996d;75.10088;Unknown;;No;No;;;
Archi1996d;175–78;Unknown;;No;No;;;
Archi1996d;75.1945;Unknown;;No;No;;;
Archi1996d;75.2353;Unknown;;No;No;;;
Archi1996d;75.2417;Unknown;;No;No;;;
Archi1996d;75.10060;Unknown;;No;No;;;
Archi1996d;75.12297;Unknown;;No;No;;;
Archi1996d;169–175;Unknown;;No;No;;;
Archi1996d;75.427.”;Unknown;;No;No;;;
Archi1996d;75.1464;Unknown;;No;No;;;
Archi1996d;75;Unknown;;No;No;;;
Archi1996d;375;Unknown;;No;No;;;
Archi1996d;75.120;Unknown;;No;No;;;
Archi1996d;2875;Unknown;;No;No;;;
Archi1996d;107–175;Unknown;;No;No;;;
Archi1996d;175;Unknown;;No;No;;;
Archi1996d;275;Unknown;;No;No;;;
Archi1996d;475;Unknown;;No;No;;;
Archi1996d;175–177;Unknown;;No;No;;;
Archi1996d;273–275;Unknown;;No;No;;;
Archi1996d;375–386;Unknown;;No;No;;;
Archi1996d;575;Unknown;;No;No;;;
Archi1996d;978-3-86835-075-3;Unknown;;No;No;;;
Archi1996d;75;Unknown;;No;No;;;
Archi1996d;475;Unknown;;No;No;;;
Archi1996d;757;Unknown;;No;No;;;
Archi1996d;875;Unknown;;No;No;;;
Archi1996d;75.10143;Unknown;;No;No;;;
Archi1996d;75.2426;Unknown;;No;No;;;
Archi1996d;75.2418;Unknown;;No;No;;;
Archi1996d;75.2417;Unknown;;No;No;;;
Archi1996d;75.2433+2509;Unknown;;No;No;;;
Archi1996d;75.1836;Unknown;;No;No;;;
Archi1996d;75.1328;Unknown;;No;No;;;
Archi1996d;75.2487;Unknown;;No;No;;;
Archi1996d;75.1940;Unknown;;No;No;;;
Archi1996d;75.1453;Unknown;;No;No;;;
Archi1996d;75.2499;Unknown;;No;No;;;
Archi1996d;75.1395;Unknown;;No;No;;;
Archi1996d;75.1262;Unknown;;No;No;;;
Archi1996d;75.2359;Unknown;;No;No;;;
Archi1996d;75.2365;Unknown;;No;No;;;
Archi1996d;75.2450;Unknown;;No;No;;;
Archi1996d;75.2429;Unknown;;No;No;;;
Archi1996d;75.10088;Unknown;;No;No;;;
Archi1996d;75.10187;Unknown;;No;No;;;
Archi1996d;75.2335;Unknown;;No;No;;;
Archi1996d;75.10133;Unknown;;No;No;;;
Archi1996d;75.1449;Unknown;;No;No;;;
Archi1996d;75.2621+11549;Unknown;;No;No;;;
Archi1996d;75.2075;Unknown;;No;No;;;
Archi1996e;75.2283;Unknown;;No;No;;;
Archi1996e;75.11010;Unknown;;No;No;;;
Archi1996e;75.2327+4203;Unknown;;No;No;;;
Archi1996e;75.2283;Unknown;;No;No;;;
Archi1996e;75.1731;Unknown;;No;No;;;
Archi1996e;75.1953;Unknown;;No;No;;;
Archi1996e;75.10143+;Unknown;;No;No;;;
Archi1996e;75.2359;Unknown;;No;No;;;
Archi1996e;75.10143;Unknown;;No;No;;;
Archi1996e;75.2236;Unknown;;No;No;;;
Archi1996e;75.2335;Unknown;;No;No;;;
Archi1996e;30-75;Unknown;;No;No;;;
Archi1996e;75.1464;Unknown;;No;No;;;
Archi1996e;1975;Unknown;;No;No;;;
Archi1996e;75;Unknown;;No;No;;;
Archi1996e;75.10217;Unknown;;No;No;;;
Archi1996e;475,804;Unknown;;No;No;;;
Archi1996e;75.1700;Unknown;;No;No;;;
Archi1996e;75.1574;Unknown;;No;No;;;
Archi1996e;75.1582;Unknown;;No;No;;;
